,tag,embedding,similarity
14,neumatico,"[-0.03670064 -0.00712719  0.02426365 ...  0.00926332 -0.01761794
 -0.02339564]",0.78527974844925
13,Calidad-asas-plastico,"[-0.03280837  0.0229245   0.00347038 ...  0.01134508 -0.0214495
 -0.01171727]",0.7851635272970356
3,tubos,"[-0.02141909 -0.00458833  0.00675647 ...  0.00662528 -0.01773186
 -0.00919736]",0.784905000806323
10,Soldadura-envase,"[-0.01422843 -0.0115195   0.00237853 ...  0.00375765 -0.02766785
  0.01848907]",0.7846129565136053
4,robótica,"[-0.02387358 -0.00704445  0.00106602 ... -0.00199336 -0.01112808
 -0.00383635]",0.7838310471800782
16,Uniformidad-producto,"[-0.01373545 -0.01199848  0.02088377 ...  0.0218057  -0.01815805
 -0.00598922]",0.7835620992570527
12,parachoques,"[-0.00633505  0.01311467  0.00626967 ... -0.00709343 -0.0147491
 -0.00046459]",0.783283803876749
14,producto,"[-0.01063455 -0.04028619 -0.00287759 ... -0.00784038 -0.00673869
 -0.00589766]",0.7826820938437752
9,Defectos-superficiales-plata,"[-0.02363022  0.0075249   0.0203751  ... -0.0075249  -0.02653122
 -0.00657833]",0.7825844606759703
11,teixido,"[-0.02276991  0.00046644 -0.00324896 ... -0.00470352 -0.00785052
 -0.03028738]",0.7825507336705974
19,Inspección-tablas,"[-0.0250211  -0.0003041   0.00404208 ...  0.01763692 -0.00167791
  0.00445727]",0.7824762987584427
4,WORM-GEAR,"[-0.00435485 -0.01676338  0.00027131 ... -0.00235713  0.00299745
 -0.00502483]",0.782149777624758
4,decoletaje,"[-0.0462004  -0.00863644  0.02211039 ... -0.00429382 -0.00461795
  0.00980748]",0.7820994921743581
12,llenado-bidones,"[-0.0322989  -0.01031846  0.00722906 ... -0.01608125 -0.01320327
 -0.00459318]",0.7820262636842944
11,compacto,"[-0.01508515  0.01501744  0.01685908 ...  0.00995295 -0.01196385
 -0.0350723 ]",0.7817601885574681
18,Lear-asientos,"[-0.01570197 -0.00886011  0.00707059 ...  0.00744733  0.00544927
 -0.01049489]",0.7817047336494087
15,llenado,"[-0.02985925 -0.0132509   0.00707265 ... -0.00133472 -0.00937058
 -0.01911267]",0.7816601209788822
14,embalaje,"[-0.01633075 -0.00285315  0.01474774 ... -0.01252881 -0.02700595
 -0.02354226]",0.7815129199790398
12,Defecto,"[-0.02452634 -0.00273513  0.01459643 ... -0.00602306 -0.01250057
 -0.01763509]",0.7813739601211876
19,exito,"[-0.01959523 -0.02022474  0.00073248 ... -0.01037355  0.00363978
 -0.00740681]",0.7806919465402473
19,despaletizador,"[-0.02884637 -0.00754572  0.00278266 ...  0.01381758  0.00958529
 -0.01850233]",0.7806862325230667
4,Máquina-de-inspección-óptica,"[-0.03678709  0.00617898  0.00866324 ...  0.00296611 -0.01487223
 -0.00082906]",0.780606314844068
9,bateria,"[-4.83302353e-03 -2.10783933e-03  1.30017539e-02 ...  8.97984792e-05
 -8.72468110e-03 -9.08622053e-03]",0.7803332698269507
